Blender 4.2.1 LTS (hash 396f546c9d82 built 2024-08-19 23:53:04)
Info: Total files 0 | Changed 0 | Failed 0
Fra:1 Mem:97.67M (Peak 97.67M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_band
Fra:1 Mem:97.67M (Peak 97.67M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | jamb_right
Fra:1 Mem:97.68M (Peak 97.68M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | header
Fra:1 Mem:97.68M (Peak 97.68M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | door_leaf_left
Fra:1 Mem:97.69M (Peak 97.69M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | door_leaf_right
Fra:1 Mem:97.69M (Peak 97.69M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | volume_marker
Fra:1 Mem:97.69M (Peak 97.69M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | post_fl
Fra:1 Mem:97.70M (Peak 97.70M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | post_fr
Fra:1 Mem:97.70M (Peak 97.70M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | post_rl
Fra:1 Mem:97.71M (Peak 97.71M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | post_rr
Fra:1 Mem:97.71M (Peak 97.71M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | base_plate
Fra:1 Mem:97.71M (Peak 97.71M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | top_plate
Fra:1 Mem:97.72M (Peak 97.72M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rail_right
Fra:1 Mem:97.72M (Peak 97.72M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | cross_front_u30
Fra:1 Mem:97.73M (Peak 97.73M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | cross_front_u40
Fra:1 Mem:97.73M (Peak 97.73M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | chassis_pz
Fra:1 Mem:97.73M (Peak 97.73M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | chassis_nz
Fra:1 Mem:97.74M (Peak 97.74M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_1_0
Fra:1 Mem:97.74M (Peak 97.74M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_4_0
Fra:1 Mem:97.74M (Peak 97.74M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_3_0
Fra:1 Mem:97.74M (Peak 97.74M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_5_0
Fra:1 Mem:97.75M (Peak 97.75M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_9_0
Fra:1 Mem:97.75M (Peak 97.75M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_13_0
Fra:1 Mem:97.75M (Peak 97.75M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_16_0
Fra:1 Mem:97.75M (Peak 97.75M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_17_0
Fra:1 Mem:97.76M (Peak 97.76M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_18_0
Fra:1 Mem:97.76M (Peak 97.76M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_1_1
Fra:1 Mem:97.76M (Peak 97.76M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_6_1
Fra:1 Mem:97.76M (Peak 97.76M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_10_1
Fra:1 Mem:97.76M (Peak 97.76M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_11_1
Fra:1 Mem:97.76M (Peak 97.76M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_12_1
Fra:1 Mem:97.77M (Peak 97.77M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_13_1
Fra:1 Mem:97.77M (Peak 97.77M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_17_1
Fra:1 Mem:97.77M (Peak 97.77M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_18_1
Fra:1 Mem:97.77M (Peak 97.77M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_19_1
Fra:1 Mem:97.77M (Peak 97.77M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_0_2
Fra:1 Mem:97.78M (Peak 97.78M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_1_2
Fra:1 Mem:97.78M (Peak 97.78M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_2_2
Fra:1 Mem:97.78M (Peak 97.78M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_3_2
Fra:1 Mem:97.79M (Peak 97.79M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_6_2
Fra:1 Mem:97.79M (Peak 97.79M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_7_2
Fra:1 Mem:97.79M (Peak 97.79M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_8_2
Fra:1 Mem:97.79M (Peak 97.79M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_9_2
Fra:1 Mem:97.79M (Peak 97.79M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_10_2
Fra:1 Mem:97.80M (Peak 97.80M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_11_2
Fra:1 Mem:97.80M (Peak 97.80M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_13_2
Fra:1 Mem:97.80M (Peak 97.80M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_14_2
Fra:1 Mem:97.80M (Peak 97.80M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_16_2
Fra:1 Mem:97.80M (Peak 97.80M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_17_2
Fra:1 Mem:97.80M (Peak 97.80M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_18_2
Fra:1 Mem:97.81M (Peak 97.81M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_19_2
Fra:1 Mem:97.81M (Peak 97.81M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_0_3
Fra:1 Mem:97.81M (Peak 97.81M) | Time:00:00.06 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_vent_field_1_3
